index,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,Y
46,5000,5000,5000,36,12.29,166.77,C,C1,Manager,9 years,MORTGAGE,108000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60497220,,other,Other,982xx,WA,10.31,0,1.Mar,0,76,,7,0,17797,70.3,22,f,2009.28,2009.28,3364.29,3364.29,2990.72,373.57,0,0,0,16.Aug,166.77,16.Oct,16.Oct,0,76,1,INDIVIDUAL,,,,0,200,309991,,,,,,,,,,,,25300,,,,5,44284,1958,75.5,0,0,174,155,10,8,5,19,76,1,76,3,2,4,2,6,6,5,11,4,7,0,0,0,3,81.8,50,0,0,324637,52230,8000,37142,1
48,7000,7000,7000,36,13.99,239.21,C,C4,Registered Nurse,< 1 year,MORTGAGE,55000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60772568,,medical,Medical expenses,760xx,TX,23.28,0,7.Sep,2,,,25,0,10714,27.8,69,f,4982.67,4982.67,2865.08,2865.08,2017.33,847.75,0,0,0,16.Oct,239.21,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,189269,,,,,,,,,,,,38600,,,,15,7571,16531,28.7,0,0,91,96,1,1,1,1,,1,,0,11,17,12,17,43,19,24,17,25,0,0,0,8,100,0,0,0,228789,63506,23200,59881,0
49,20000,20000,20000,60,14.65,472.14,C,C5,CPI Billing Services Senior,10+ years,RENT,60000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60740588,,debt_consolidation,Debt consolidation,088xx,NJ,18,0,4.Jul,1,42,,15,0,1497,7.8,20,w,17072.95,17072.95,5649.4,5649.4,2927.05,2722.35,0,0,0,16.Oct,472.14,16.Oct,16.Oct,0,42,1,INDIVIDUAL,,,,0,0,24366,,,,,,,,,,,,19300,,,,12,1624,15063,6.4,0,0,24,134,5,3,1,12,55,3,55,4,5,7,7,10,2,13,17,7,15,0,0,0,3,80,0,0,0,49350,24366,16100,30050,0
51,15000,15000,15000,36,12.69,503.18,C,C2,,n/a,RENT,31500,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60782692,,debt_consolidation,Debt consolidation,765xx,TX,34.97,0,6.Oct,1,,,7,0,4254,61.7,15,f,10616.18,10616.18,6027.58,6027.58,4383.82,1643.76,0,0,0,16.Oct,503.18,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,16456,,,,,,,,,,,,6900,,,,5,2351,2646,61.7,0,0,107,74,2,2,0,2,,6,,0,3,3,4,4,10,4,5,3,7,0,0,0,3,100,25,0,0,37277,16456,6900,30377,0
53,15000,15000,15000,36,6.89,462.41,A,A3,Assistant Prosecutor,5 years,RENT,68000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60547747,,debt_consolidation,Debt consolidation,073xx,NJ,10.24,0,Sep.97,0,,,7,0,13015,33.8,29,w,10339.22,10339.22,5543.18,5543.18,4660.78,882.4,0,0,0,16.Oct,462.41,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,238932,,,,,,,,,,,,38500,,,,3,34133,25485,33.8,0,0,137,216,12,8,0,12,,8,,0,4,4,4,4,24,4,5,4,7,0,0,0,2,100,0,0,0,254140,238932,38500,215640,0
54,18925,18925,18925,36,9.99,610.57,B,B3,Head Wrestling Coach,< 1 year,OWN,100000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60741531,,credit_card,Credit card refinancing,674xx,KS,12.55,0,Oct.79,0,26,,5,0,20085,73.6,22,f,13232.82,13232.82,7326.59,7326.59,5692.18,1634.41,0,0,0,16.Oct,610.57,16.Nov,16.Oct,0,26,1,INDIVIDUAL,,,,0,0,44606,,,,,,,,,,,,27300,,,,3,8921,3566,76.2,0,0,431,367,9,5,2,9,,5,,2,2,3,2,4,8,4,11,3,5,0,0,0,2,90.5,50,0,0,53367,44606,15000,26067,0
55,6600,6600,6600,36,10.99,216.05,B,B4,Police Service Tech,10+ years,RENT,58000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60315857,,debt_consolidation,Debt consolidation,945xx,CA,20.79,0,5.Apr,0,,,7,0,7026,25.9,17,f,0,0,6668.13,6668.13,6600,68.13,0,0,0,15.Nov,6672.16,,16.Sep,0,,1,INDIVIDUAL,,,,0,0,30133,,,,,,,,,,,,27100,,,,9,4305,15574,29.5,0,0,33,64,13,6,2,13,,12,,0,2,3,4,6,8,5,7,3,7,0,0,0,3,100,50,0,0,54600,30133,22100,27500,0
57,12400,12400,12400,36,14.65,427.73,C,C5,Full time ,10+ years,MORTGAGE,56000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60862476,,debt_consolidation,Debt consolidation,856xx,AZ,10.14,0,5.Oct,1,76,,9,0,16432,39.6,22,f,9790.47,9790.47,3781.63,3781.63,2609.53,1172.1,0,0,0,16.Jun,427.73,16.Oct,16.Oct,0,76,1,INDIVIDUAL,,,,0,0,462705,,,,,,,,,,,,41500,,,,5,51412,13868,54.2,0,0,110,119,2,2,4,2,,2,,1,4,4,4,6,8,6,10,4,9,0,0,0,2,95.2,50,0,0,505717,19481,30300,4000,1
58,18625,18625,18625,60,13.33,426.93,C,C3,city-carrier,10+ years,MORTGAGE,69855,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60882685,,debt_consolidation,Debt consolidation,925xx,CA,17.49,0,3.Oct,1,,75,16,1,7198,28.5,33,w,0,0,20707.9,20707.9,18625,2082.9,0,0,0,16.Aug,16879.32,,16.Aug,0,,1,INDIVIDUAL,,,,0,0,389249,,,,,,,,,,,,25300,,,,6,25950,4646,54,0,0,121,143,10,4,1,18,,0,,0,3,7,4,8,14,12,18,7,16,0,0,0,2,100,25,1,0,363527,37977,10100,39827,0
59,32000,32000,32000,36,13.33,1083.3,C,C3,sales,10+ years,MORTGAGE,125000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60741546,,debt_consolidation,Debt consolidation,550xx,MN,17.12,1,5.Apr,0,6,,13,0,23787,85.3,24,f,22749.3,22749.3,13126.84,13126.84,9250.7,3821.97,54.17,0,0,16.Oct,1083.3,16.Nov,16.Oct,0,6,1,INDIVIDUAL,,,,0,0,249322,,,,,,,,,,,,27900,,,,5,19179,525,96.4,0,0,117,125,16,16,3,82,,14,,2,6,11,6,9,6,11,15,11,13,0,0,1,0,95.5,100,0,0,260772,37988,14700,25000,0
63,15000,15000,15000,60,9.99,318.64,B,B3,Lead deckhand,5 years,MORTGAGE,80000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60752848,,debt_consolidation,Debt consolidation,700xx,LA,19.32,0,4.Jul,0,,,12,0,34561,81.3,41,f,12565.35,12565.35,3815.36,3815.36,2434.65,1380.71,0,0,0,16.Oct,318.64,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,137976,,,,,,,,,,,,42500,,,,4,11498,1323,93.2,0,0,117,134,18,18,3,20,,10,,0,5,7,6,19,11,10,27,7,12,0,0,0,0,100,83.3,0,0,160085,47324,19600,18000,0
66,24000,24000,24000,60,12.69,542.28,C,C2,Counsel,10+ years,MORTGAGE,591000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60842660,,other,Other,105xx,NY,5.98,0,Mar.80,1,,57,12,1,40428,96,21,f,20329.63,20329.63,6490.44,6490.44,3670.37,2820.07,0,0,0,16.Oct,542.28,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,1014860,,,,,,,,,,,,42100,,,,7,84572,1397,96.4,0,0,124,417,27,3,2,27,,4,,0,2,3,2,3,11,3,6,3,12,0,0,0,2,100,100,0,1,1120968,179287,39100,153820,0
67,8550,8550,8550,36,13.99,292.18,C,C4,Tax preparer/office manager,10+ years,MORTGAGE,42000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60762652,,debt_consolidation,Debt consolidation,782xx,TX,20.38,0,2.Jul,0,,,7,0,17466,83.2,11,f,6085.95,6085.95,3499.51,3499.51,2464.05,1035.46,0,0,0,16.Oct,292.18,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,128192,,,,,,,,,,,,21000,,,,2,18313,3534,83.2,0,0,158,48,10,10,2,10,,,,0,4,4,4,4,4,4,4,4,7,0,0,0,2,100,75,0,0,183425,28037,21000,21309,0
